iter	Passed	Remaining
422	2176	2969
423	2182	2964
424	2187	2959
425	2192	2954
426	2197	2948
427	2202	2943
428	2207	2937
429	2212	2932
430	2217	2927
431	2222	2921
432	2227	2916
433	2232	2911
434	2237	2906
435	2242	2901
436	2247	2895
437	2253	2890
438	2258	2885
439	2263	2880
440	2268	2875
441	2273	2870
442	2278	2864
443	2283	2859
444	2288	2854
445	2293	2848
446	2298	2843
447	2303	2837
448	2308	2832
449	2313	2827
450	2318	2822
451	2323	2816
452	2328	2811
453	2333	2806
454	2338	2801
455	2343	2796
456	2348	2790
457	2354	2785
458	2360	2781
459	2364	2776
460	2370	2771
461	2375	2766
462	2380	2761
463	2385	2755
464	2390	2750
465	2395	2745
466	2401	2741
467	2406	2736
468	2412	2730
469	2417	2725
470	2422	2720
471	2427	2715
472	2432	2710
473	2438	2705
474	2443	2700
475	2448	2695
476	2453	2690
477	2458	2684
478	2463	2679
479	2468	2674
480	2473	2668
481	2478	2663
482	2483	2658
483	2488	2653
484	2493	2647
485	2498	2642
486	2503	2637
487	2509	2632
488	2513	2627
489	2518	2621
490	2524	2617
491	2529	2611
492	2534	2606
493	2539	2601
494	2544	2596
495	2550	2591
496	2555	2586
497	2561	2581
498	2566	2576
499	2571	2571
500	2576	2566
501	2581	2561
502	2587	2556
503	2592	2551
504	2597	2545
505	2602	2540
506	2607	2535
507	2612	2530
508	2617	2524
509	2622	2519
510	2627	2514
511	2632	2509
512	2637	2504
513	2642	2498
514	2647	2493
515	2652	2488
516	2657	2482
517	2662	2477
518	2667	2472
519	2672	2467
520	2677	2461
521	2683	2457
522	2688	2452
523	2693	2446
524	2698	2441
525	2703	2436
526	2709	2431
527	2714	2426
528	2719	2421
529	2724	2416
530	2729	2410
531	2735	2406
532	2740	2401
533	2746	2396
534	2751	2391
535	2756	2386
536	2761	2380
537	2766	2375
538	2771	2370
539	2776	2365
540	2781	2360
541	2787	2355
542	2792	2350
543	2797	2344
544	2802	2339
545	2807	2334
546	2812	2329
547	2817	2324
548	2822	2318
549	2827	2313
550	2832	2308
551	2837	2302
552	2842	2297
553	2847	2292
554	2852	2287
555	2857	2282
556	2862	2276
557	2868	2271
558	2873	2266
559	2878	2261
560	2883	2256
561	2888	2251
562	2895	2247
563	2900	2241
564	2905	2236
565	2910	2231
566	2916	2226
567	2921	2221
568	2926	2216
569	2931	2211
570	2936	2206
571	2941	2201
572	2946	2195
573	2951	2190
574	2956	2185
575	2963	2181
576	2968	2176
577	2973	2170
578	2978	2165
579	2983	2160
580	2988	2155
581	2993	2149
582	2998	2144
583	3003	2139
584	3008	2134
585	3013	2128
586	3018	2123
587	3023	2118
588	3028	2113
589	3033	2107
590	3038	2102
591	3043	2097
592	3048	2092
593	3053	2087
594	3059	2082
595	3063	2076
596	3069	2071
597	3074	2066
598	3079	2061
599	3085	2057
600	3090	2051
601	3095	2046
602	3101	2041
603	3106	2036
604	3111	2031
605	3116	2026
606	3121	2020
607	3126	2015
608	3131	2010
609	3136	2005
610	3141	2000
611	3146	1994
612	3151	1989
613	3157	1984
614	3161	1979
615	3167	1974
616	3171	1968
617	3176	1963
618	3182	1958
619	3186	1953
620	3191	1948
621	3196	1942
622	3202	1937
623	3207	1933
624	3213	1927
625	3218	1922
626	3223	1917
627	3228	1912
628	3233	1907
629	3239	1902
630	3244	1897
631	3249	1892
632	3254	1887
633	3260	1882
634	3266	1877
635	3272	1872
636	3278	1868
637	3283	1862
638	3288	1857
639	3293	1852
640	3298	1847
641	3303	1842
642	3308	1837
643	3314	1832
644	3319	1827
645	3325	1822
646	3330	1817
647	3335	1811
648	3341	1806
649	3345	1801
650	3351	1796
651	3356	1791
652	3361	1786
653	3366	1781
654	3372	1776
655	3377	1770
656	3382	1765
657	3387	1760
658	3393	1755
659	3398	1750
660	3403	1745
661	3408	1740
662	3413	1735
663	3418	1730
664	3423	1724
665	3429	1719
666	3434	1714
667	3439	1709
668	3444	1704
669	3449	1699
670	3454	1694
671	3460	1688
672	3465	1683
673	3470	1678
674	3475	1673
675	3480	1668
676	3485	1663
677	3490	1657
678	3496	1652
679	3501	1647
680	3506	1642
681	3513	1638
682	3518	1633
683	3523	1628
684	3529	1622
685	3534	1617
686	3539	1612
687	3545	1607
688	3550	1602
689	3555	1597
690	3561	1592
691	3566	1587
692	3571	1582
693	3576	1576
694	3581	1571
695	3586	1566
696	3591	1561
697	3596	1556
698	3601	1550
699	3606	1545
700	3612	1540
701	3617	1535
702	3622	1530
703	3628	1525
704	3634	1520
705	3639	1515
706	3644	1510
707	3650	1505
708	3655	1500
709	3660	1495
710	3665	1489
711	3670	1484
712	3675	1479
713	3680	1474
714	3685	1469
715	3690	1464
716	3695	1458
717	3701	1453
718	3706	1448
719	3711	1443
720	3716	1438
721	3721	1432
722	3726	1427
723	3731	1422
724	3736	1417
725	3741	1412
726	3746	1406
727	3751	1401
728	3756	1396
729	3760	1391
730	3766	1385
731	3771	1380
732	3776	1375
733	3781	1370
734	3786	1365
735	3791	1360
736	3797	1355
737	3802	1349
738	3807	1344
739	3812	1339
740	3817	1334
741	3822	1329
742	3829	1324
743	3834	1319
744	3839	1314
745	3845	1309
746	3851	1304
747	3856	1299
748	3862	1294
749	3867	1289
750	3872	1284
751	3877	1278
752	3883	1273
753	3888	1268
754	3894	1263
755	3899	1258
