iter	Quantile:alpha=0.5
207	2.622692977
208	2.62132255
209	2.619739032
210	2.618151508
211	2.617385734
212	2.61626933
213	2.614708834
214	2.612703243
215	2.611870865
216	2.610882825
217	2.609552824
218	2.607914395
219	2.606345999
220	2.604829056
221	2.603893949
222	2.602692047
223	2.60179107
224	2.600530439
225	2.599752526
226	2.599073772
227	2.598174206
228	2.596896765
229	2.595973608
230	2.594784988
231	2.59334142
232	2.591975796
233	2.591268555
234	2.589998727
235	2.588828822
236	2.588405908
237	2.588074309
238	2.587256147
239	2.58664428
240	2.586030796
241	2.58480288
242	2.583488215
243	2.582492483
244	2.581231471
245	2.580379275
246	2.579221552
247	2.578362623
248	2.577423438
249	2.576635682
250	2.575946962
251	2.575090229
252	2.574234929
253	2.573298572
254	2.57249669
255	2.571618994
256	2.570564166
257	2.569848697
258	2.569463614
259	2.568670482
260	2.567441444
261	2.566356799
262	2.565553715
263	2.564304367
264	2.563108121
265	2.562100975
266	2.561812769
267	2.560556352
268	2.559925953
269	2.559001081
270	2.557837126
271	2.556489197
272	2.554974833
273	2.554550479
274	2.553751395
275	2.552662441
276	2.551801498
277	2.550448531
278	2.550133756
279	2.549598106
280	2.549088803
281	2.548141576
282	2.546728837
283	2.546021198
284	2.545411913
285	2.544887235
286	2.544508028
287	2.54313963
288	2.542778211
289	2.541481053
290	2.541146072
291	2.540247369
292	2.539543194
293	2.538918152
294	2.537813437
295	2.537345947
296	2.536625633
297	2.536089956
298	2.535425236
299	2.534582035
300	2.533526303
301	2.533126889
302	2.532442687
303	2.531623454
304	2.531162444
305	2.529794863
306	2.528947821
307	2.52859457
308	2.527618471
309	2.526866288
310	2.526484585
311	2.525581881
312	2.524817955
313	2.524226838
314	2.523163825
315	2.522490669
316	2.521897544
317	2.521140831
318	2.520120993
319	2.519529011
320	2.519258407
321	2.518877881
322	2.518552728
323	2.517212901
324	2.516481528
325	2.516074388
326	2.515274612
327	2.514314496
328	2.513706117
329	2.513257053
330	2.512639792
331	2.512107249
332	2.511735367
333	2.510867777
334	2.510388156
335	2.509784417
336	2.509234829
337	2.508875174
338	2.507838947
339	2.507012281
340	2.506709788
341	2.506263685
342	2.505657354
343	2.505386227
344	2.504498566
345	2.503772653
346	2.502641196
347	2.50224392
348	2.501513726
349	2.501084302
350	2.500617013
351	2.499713115
352	2.49781678
353	2.497304736
354	2.496371506
355	2.496171732
356	2.494618634
357	2.492813301
358	2.491714344
359	2.490751568
360	2.489649561
361	2.488439799
362	2.487900116
363	2.487111772
364	2.486165607
365	2.485665911
366	2.484609741
367	2.483378694
368	2.482900512
369	2.482061801
370	2.481273421
371	2.48082359
372	2.479530316
373	2.479162546
374	2.478495024
375	2.477727591
376	2.477410969
377	2.476932654
378	2.476449997
379	2.475267924
380	2.474439668
381	2.47394698
382	2.473497127
383	2.472730147
384	2.471981404
385	2.471732324
386	2.47130449
387	2.470700211
388	2.470177265
389	2.469864881
390	2.468871076
391	2.468007277
392	2.467220282
393	2.466530819
394	2.465866427
395	2.464734581
396	2.4643394
397	2.464055846
398	2.463521764
399	2.462448017
400	2.461492596
401	2.460449397
402	2.460032635
403	2.459562158
404	2.459158521
405	2.458127811
406	2.457089443
407	2.45663934
408	2.45564348
409	2.454800926
410	2.454334347
411	2.45382195
412	2.453096324
413	2.452458174
414	2.451860472
415	2.451242095
416	2.450816731
417	2.449695375
418	2.447843244
419	2.446296915
420	2.445690855
421	2.445138275
422	2.444314862
423	2.443716735
424	2.443013923
425	2.442101321
426	2.441599747
427	2.440899549
428	2.440002661
429	2.439730779
430	2.43946356
431	2.438370897
432	2.437476677
433	2.436416026
434	2.435832835
435	2.434846868
436	2.433977075
437	2.433108791
438	2.432755024
439	2.432047064
440	2.430973443
441	2.430631793
442	2.42974911
443	2.429017203
444	2.42852809
445	2.427594653
446	2.426760187
447	2.426119322
448	2.425195635
449	2.423906434
450	2.423039949
451	2.42212148
452	2.421434731
453	2.420337192
454	2.419694908
455	2.418947003
456	2.418329389
457	2.417728613
458	2.416821334
459	2.415960468
460	2.41458854
461	2.413775722
462	2.412497811
463	2.411858055
464	2.410854987
465	2.410342479
466	2.409538396
467	2.40856987
468	2.407848668
469	2.407330024
470	2.406574375
471	2.405797575
472	2.404786207
473	2.403775394
474	2.402730897
475	2.401820775
476	2.401013994
477	2.399891271
478	2.399240443
479	2.398756121
480	2.397865332
481	2.396901746
482	2.395648087
483	2.394779596
484	2.394124728
485	2.393433513
486	2.392339985
487	2.391250768
488	2.390379899
489	2.389102635
490	2.388376986
491	2.38747699
492	2.386756423
493	2.386323742
494	2.385814396
495	2.38506099
496	2.384198891
497	2.382957236
498	2.382295471
499	2.381217347
500	2.380785564
501	2.379993028
502	2.379748472
503	2.378881451
504	2.378236643
505	2.377434075
506	2.376495294
507	2.37564546
508	2.37474258
509	2.374311555
510	2.373245046
511	2.372296973
512	2.371531832
513	2.370723654
514	2.369764588
515	2.36883645
516	2.368130993
517	2.367083995
518	2.366529501
519	2.366090422
520	2.365486927
521	2.364457551
522	2.363966403
523	2.363072152
524	2.362432534
525	2.36153325
526	2.360437317
527	2.359669769
528	2.359388277
529	2.358302752
530	2.357664815
531	2.356861155
532	2.355944583
533	2.35542382
534	2.354478633
535	2.353322902
536	2.353048268
537	2.352255029
538	2.35187755
539	2.350997587
540	2.349202878
541	2.348301528
542	2.34756165
543	2.347105778
544	2.346452404
545	2.345964168
546	2.345475893
547	2.345016838
548	2.344050597
549	2.342818685
550	2.341766853
551	2.341133206
552	2.340831996
553	2.340437968
554	2.340117359
555	2.338844786
556	2.337667943
557	2.33675736
558	2.335694965
559	2.33513382
560	2.334409841
561	2.333720938
562	2.333132796
563	2.332587699
564	2.33194032
565	2.331427607
566	2.330804714
567	2.330285721
568	2.329791874
569	2.328798598
570	2.327647802
571	2.32661981
572	2.325895825
573	2.324794353
574	2.324059034
575	2.323458103
576	2.323165608
577	2.322294038
578	2.321648774
579	2.320708281
580	2.320224696
581	2.319599453
582	2.318652142
583	2.318115937
584	2.317599128
585	2.317106318
586	2.316777133
587	2.31572389
588	2.314954193
589	2.314381244
590	2.313929788
591	2.313440653
592	2.312787291
593	2.312198868
594	2.311651969
595	2.310987718
596	2.310457095
597	2.309907589
598	2.309380434
599	2.308835832
600	2.308375612
601	2.308202367
602	2.30788238
603	2.307449944
604	2.30706288
605	2.306895458
606	2.306644784
607	2.306280375
608	2.306203394
609	2.306061405
610	2.305594159
611	2.305483956
612	2.305378974
613	2.305231288
614	2.305133028
615	2.304706626
616	2.304290861
617	2.304005939
618	2.303672805
619	2.302616898
620	2.30177298
621	2.301263065
622	2.300723458
623	2.300269546
624	2.299989247
625	2.299188283
626	2.298901278
627	2.298755044
628	2.298595139
629	2.298306742
630	2.298034817
631	2.297521164
632	2.296887129
633	2.296149095
634	2.29564678
635	2.294671162
636	2.294221104
637	2.293444215
638	2.292776977
639	2.291971069
640	2.291265332
641	2.29076877
642	2.290289384
643	2.290091433
644	2.290011085
645	2.289649772
646	2.289358557
647	2.289008219
648	2.288739777
649	2.288641517
650	2.288456585
651	2.288358068
652	2.288046737
653	2.287672474
654	2.287553071
655	2.287220836
656	2.286935556
657	2.28628601
658	2.285659379
659	2.285275048
660	2.285106289
661	2.284675228
662	2.284274166
663	2.283906956
664	2.283757239
665	2.283347864
666	2.282759409
667	2.282368725
668	2.281895544
669	2.281195291
670	2.280966306
671	2.280618006
672	2.280226258
673	2.279444242
674	2.278912186
675	2.278118424
676	2.277223756
677	2.276758869
678	2.276169478
679	2.275406759
680	2.274950798
681	2.274079566
682	2.273772846
683	2.273242683
684	2.272803409
685	2.272485316
686	2.271880456
687	2.2714664
688	2.27111165
689	2.270566467
690	2.270150883
691	2.269955391
692	2.269938914
693	2.269397108
694	2.268921623
695	2.268361449
696	2.266947829
697	2.266243391
698	2.265745485
699	2.264703732
700	2.264332133
701	2.263543397
702	2.262999301
703	2.262426023
704	2.261749934
705	2.261478676
706	2.261160156
707	2.260708233
708	2.260003609
709	2.259829383
710	2.259352997
711	2.258917334
712	2.258778652
713	2.258273404
714	2.257574801
715	2.257155522
716	2.257018952
717	2.256507355
718	2.255855929
719	2.255014206
720	2.254211091
